row_id,message,cluster_id,message_clean,represent_name
1,"My mobile phone, why so slow?",12,"['mobile', 'phone', 'slow']","phone,849285018f1s69"
346,Why does the United States have no English,12,"['unite', 'state', 'english']","phone,849285018f1s69"
434,"and the cell has19 months""",12,"['cell', 'has19', 'months']","phone,849285018f1s69"
2471,Please me about the new I-Phone that just came on the market.,12,"['please', 'new', 'phone', 'come', 'market']","phone,849285018f1s69"
2516,"W_ n_t_f_ __u _f __ur _urr_nt _r_n___t__n ( ___m_nt ID: ___-849285018F1S69),",12,"['w', 'n', 'f', 'u', 'f', 'ur', 'urr', 'nt', 'r', 'n', 'n', 'nt', 'id', '849285018f1s69']","phone,849285018f1s69"
2517,"th_t __m__n_ h__ u__d __ur __l_ud ____unt f_r _u______u_ _r_n___t__n_, _r_n___t__n_ d_t__l_""",12,"['th', 'n', 'h', 'u', 'ur', 'l', 'ud', 'unt', 'f', 'r', 'u', 'u', 'r', 'n', 'n', 'r', 'n', 'n', 'l']","phone,849285018f1s69"
2563,"In any case, what to do p""",12,"['case', 'p']","phone,849285018f1s69"
2599,Apple mobile phone is rubbish. It is also not as good as Samsung Mobile Phone Samsung mobile phone is not a smart-hop node holiday obviously state holidays and rest of the Apple mobile phone calendar and clock is not keeping pace with China's holiday arrangements to die jobs are,12,"['apple', 'mobile', 'phone', 'rubbish', 'also', 'good', 'samsung', 'mobile', 'phone', 'samsung', 'mobile', 'phone', 'smart', 'hop', 'node', 'holiday', 'obviously', 'state', 'holiday', 'rest', 'apple', 'mobile', 'phone', 'calendar', 'clock', 'keep', 'pace', 'china', 'holiday', 'arrangements', 'die', 'job']","phone,849285018f1s69"
395,All serial numbers do not work,12,"['serial', 'number', 'work']","phone,849285018f1s69"
2650,"To change the phone number okay anyway, as well as my own! The telecommunications hall can testify.",12,"['change', 'phone', 'number', 'okay', 'anyway', 'well', 'telecommunications', 'hall', 'testify']","phone,849285018f1s69"
2654,"""I canÕt add my AirPods to my account, even though theyÕre paired to the phone IÕm using the app in.",12,"['add', 'airpods', 'account', 'even', 'though', 'pair', 'phone', 'use', 'app']","phone,849285018f1s69"
