row_id,message,cluster_id,message_clean,represent_name
919,"The official version of iWindows11.3 heat near the camera, in particular, serious gaming special hot",10,"[official, version, iwindows11, 3, heat, near, camera, particular, serious, game, special, hot]","iwindows11,upgrade"
3625,How to downgrade the ISO8 system,10,"[downgrade, iso8, system]","iwindows11,upgrade"
1627,After updating the iWindows11.3 will crash,10,"[update, iwindows11, 3, crash]","iwindows11,upgrade"
2249,"""iWindows 11.3 ",10,"[iwindows, 11, 3]","iwindows11,upgrade"
3597,This is the latest software download card you are afraid of models to the latest version,10,"[latest, software, download, card, afraid, model, latest, version]","iwindows11,upgrade"
3601,After upgrading the iWindows11.3 notebookhine heat.,10,"[upgrade, iwindows11, 3, notebookhine, heat]","iwindows11,upgrade"
2260,After a year or so of lWindowsing the ringtone I purchased after installing IWindows11.0 it came back when I installed IWindows11.3 YEH FINALLY Êjust FYI to submit to the technical team. Thanks 07966246392 Claire,10,"[year, lwindowsing, ringtone, purchase, instal, iwindows11, 0, come, back, instal, iwindows11, 3, yeh, finally, fyi, submit, technical, team, thank, 07966246392, claire]","iwindows11,upgrade"
3616,iWindows 11 or later is the same as the behavior of the pad i,10,"[iwindows, 11, later, behavior, pad]","iwindows11,upgrade"
4179,"""Worst experience to date with IWindows 11.3",10,"[worst, experience, date, iwindows, 11, 3]","iwindows11,upgrade"
2270,Upgrade 11.3 is seriously hot battery now summon the,10,"[upgrade, 11, 3, seriously, hot, battery, summon]","iwindows11,upgrade"
3621,After the last 11.3 update _arjõm began early is the center of the device eyy yokmu this,10,"[last, 11, 3, update, arj, begin, early, center, device, eyy, yokmu]","iwindows11,upgrade"
655,SmartPhone X update to the iWindows11.3 power after the exception than iWindows11.2.6 consumes far too many,10,"[smartphone, x, update, iwindows11, 3, power, exception, iwindows11, 2, 6, consume, far, many]","iwindows11,upgrade"
652,"Update to the latest version of the system, is not able to link non-Device TV now include Bluetooth, the screen image.",10,"[update, latest, version, system, able, link, non, device, tv, include, bluetooth, screen, image]","iwindows11,upgrade"
630,"i 6, 2 noÕs",10,"[6, 2]","iwindows11,upgrade"
651,The Printer Does Not Upgrade 11.3,10,"[printer, upgrade, 11, 3]","iwindows11,upgrade"
3627,"""IWindows11 more system play the king of glory it was call back will be stuck",10,"[iwindows11, system, play, king, glory, call, back, stick]","iwindows11,upgrade"
1596,My battery fast radio can switch power,10,"[battery, fast, radio, switch, power]","iwindows11,upgrade"
2874,"Upgrade 11.3, too hot to handle can draw",10,"[upgrade, 11, 3, hot, handle, draw]","iwindows11,upgrade"
271,This battery is upgraded into a shutdown,10,"[battery, upgrade, shutdown]","iwindows11,upgrade"
